Additional Parts (Not Mouser).  Delete this section for upload to Mouser,,,,,,,,,,,,,,
Reference,Value,Footprint,Datasheet,Comment,Description,EU_RoHS_Compliance,Height,LCSC Part #,Manufacturer_Name,Manufacturer_Part_Number,Modified,Mouser Part Number,Mouser Price/Stock,Qty
"C233, C243, C813, C814, C1206",22 uF,SMD2000_Footprints:EEE0GA101SR,https://componentsearchengine.com/Datasheets/1/EEE-1VA220WAR.pdf,,Cap Aluminum Lytic 22uF 35V 20% (5 X 5.4mm) SMD 36mA 1000h 85C Automotive T/R,,6.5,C336455,Panasonic,EEE-1VA220WAR,,667-EEE-1VA220WAR,https://www.mouser.com/Search/Refine.aspx?Keyword=667-EEE-1VA220WAR,5
"C259-C261, C904, C905, C907, C914, C920",100 pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://componentsearchengine.com/Datasheets/1/06031A100FAT2A.pdf,,"0805 C0G ceramic capacitor,100pF 50V AVX 0805 Standard 100pF Ceramic Multilayer Capacitor, 50 V dc C0G Dielectric +/-5% SMD",,0.94,C2167403,AVX,08055A101JAT2A,,581-08055A101J,https://www.mouser.co.uk/ProductDetail/AVX/08055A101JAT2A?qs=o9qE778H9QGBR%2FfSpI%2FCIw%3D%3D,8
C350,1 uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://componentsearchengine.com/Datasheets/2/08055C105KAT2A.pdf,,"MLCC Capacitor 1uF 0805 X7R 10% 50V AVX 0805 Standard 1uF Ceramic Multilayer Capacitor, 50 V, +125C, X7R Dielectric, +/-10%",,1.4,C2167382,AVX,08055C105KAT2A,,581-08055C105KAT2A,https://www.mouser.co.uk/ProductDetail/AVX/08055C105KAT2A?qs=2ujN4bDBNE9BNQHBgLvfKA%3D%3D,1
"C400, C416, C470",220 uF,SMD2000_Footprints:EEHZT1E331UP,https://componentsearchengine.com/Datasheets/1/EEE-1EA221UAP.pdf,,"Panasonic 220F 25V dc Aluminium Electrolytic Capacitor, Surface Mount 8 x 10.2mm +85C 8mm 10.2mm",,10.8,C336328,Panasonic,EEE-1EA221UAP,,667-EEE-1EA221UAP,https://www.mouser.com/Search/Refine.aspx?Keyword=667-EEE-1EA221UAP,3
C452,4.7 uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://au.mouser.com/datasheet/2/40/KGM_X7R-3223212.pdf,,Multilayer Ceramic Capacitors MLCC - SMD/SMT KGM21AR71E475KU NEW GLOBAL PN 25V 4.7uF X7R 0805 10%,,1.4,,AVX,08053C475KAT2A,,581-08053C475KAT2A,https://au.mouser.com/ProductDetail/KYOCERA-AVX/08053C475KAT2A?qs=ZBeOGGPQgEF8AwTFFr2g8w%3D%3D,1
"C460, C461",10 uF,SMD2000_Footprints:EEE1AA220WR,http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,,"PANASONIC ELECTRONIC COMPONENTS - EEE1EA100WAR - CAP, ALU ELEC, 10UF, 25V, SMD",,5.5,C336730,Panasonic,EEE-1EA100WAR,,667-EEE-1EA100WAR,https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-1EA100WAR?qs=d1CqaRUMZD8IzJai8yeTmQ%3D%3D,2
"C617, C619-C633, C635, C637, C639, C641, C645, C647, C649-C652, C654, C655, C657-C674, C678",1000 pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://spicat.kyocera-avx.com/product/mlcc/chartview/08055C102KAT2A/DataSheet/X7R,,"0805 X7R ceramic capacitor,1nF 50V AVX 0805 Standard 1nF Ceramic Multilayer Capacitor, 50 V dc, +125C, X7R Dielectric, +/-10% SMD",,0.94,C2167121,AVX,08055C102KAT2A,,581-08055C102K,https://www.mouser.co.uk/ProductDetail/AVX/08055C102KAT2A?qs=m1SnNO%2FH6BdUeLRSfRyJzA%3D%3D,47
C810,18 pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://componentsearchengine.com/Datasheets/1/08055A180KAT4A.pdf,,"Capacitor, 0805 18pF +/-10% 50V",,,C2209310,AVX,08055A180KAT4A,,581-08055A180KAT4A,https://www.mouser.com/Search/Refine.aspx?Keyword=581-08055A180KAT4A,1
"C908, C913, C1252",47 pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://au.mouser.com/datasheet/2/40/C0GNP0_KGM-3216332.pdf,,"Capacitor, 0805 47pF +/-10% 50V",,,C2209271,AVX,08055A470KAT4A,,581-08055A470KAT4A,https://au.mouser.com/ProductDetail/KYOCERA-AVX/08055A470KAT4A?qs=puY0Jq7LBATPo1cS1%252BxjXg%3D%3D,3
CE218,0.22uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,http://datasheets.avx.com/X7RDielectric.pdf,,"0805 X7R ceramic capacitor,0.22uF 50V AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 50 V dc, +125degC, X7R Dielectric,  /-10% SMD",,0.94,,AVX,08053C224K4T2A,,581-08053C224K4T2A,https://au.mouser.com/ProductDetail/KYOCERA-AVX/08053C224K4T2A?qs=MaXcIz3NWU%252Bt3orNT4zafw%3D%3D,1
CE230-CE237,6800 pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 6800pF X7R 0805 10% Tol,,0.94,C597425,AVX,08055C682KAT2A,,581-08055C682K,https://www.mouser.co.uk/ProductDetail/AVX/08055C682KAT2A?qs=wrGVMSTfBskTBQdegZmEHA%3D%3D,8
"CE238-CE243, CE327, CE329-CE331",470 pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,http://datasheets.avx.com/C0GNP0-Dielectric.pdf,,"AVX 0805 Standard 470pF Ceramic Multilayer Capacitor, 50 V dc, +125",,0.94,,AVX,08055A471JAT2A,,581-08055A471J,https://www.mouser.co.uk/ProductDetail/AVX/08055A471JAT2A?qs=puY0Jq7LBATs%2FWzMvXMJew%3D%3D,10
"CE300-CE309, CE326, CE328, CE333, CE335-CE338",100 pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://componentsearchengine.com/Datasheets/1/06031A100FAT2A.pdf,,"0805 C0G ceramic capacitor,100pF 50V AVX 0805 Standard 100pF Ceramic Multilayer Capacitor, 50 V dc C0G Dielectric +/-5% SMD",,0.94,C2167403,AVX,08055A101JAT2A,,581-08055A101J,https://www.mouser.co.uk/ProductDetail/AVX/08055A101JAT2A?qs=o9qE778H9QGBR%2FfSpI%2FCIw%3D%3D,17
"CE310, CE325",0.01 uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,https://componentsearchengine.com/Datasheets/1/0805YC473KAT2A.pdf,,Capacitor 0805 0.01UF +/-10% 16V,,,,AVX,0805YC103KAT4A,,581-0805YC103KAT4A,https://au.mouser.com/ProductDetail/KYOCERA-AVX/0805YC103KAT4A?qs=0j3vzYx9OgSOvplKldyO1Q%3D%3D,2
CN101,AGNUS BOARD,Connector_PinHeader_2.54mm:PinHeader_2x40_P2.54mm_Vertical,https://au.mouser.com/datasheet/2/1/29b4744faceffeb20158dc55b88f3486ed430ebb-2951472.pdf,,,,,,3M Electronic Solutions Division,2380-5121TG,,517-5121TG,https://au.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/2380-5121TG?qs=R%252Bzptqw7cJJxsJY6QmKGJA%3D%3D,1
CN201,MOUSE,SMD2000_Footprints:L717SDE09PA4CH3F,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/l717sdxxxpa4ch3f.pdf,,"Dsub, Stamped Signal 3A, Right Angle PCB Through Hole, FP=8.08mm (0.318in), Row Pitch 2.84mm, 09 Pin, Flash Gold, Bright Tin Shell+Grounding Dimples, M3 Front Screwlock, Ground Tab with Boardlock",,12.85,,Amphenol Communications Solutions,L717SDE09PA4CH3F,,523-L717SDE09PA4CH3F ,https://au.mouser.com/ProductDetail/Amphenol-Commercial-Products/L717SDE09PA4CH3F?qs=wLKqLMNa9uLgFYcuuVUbXg%3D%3D,1
