Designator,Footprint,Quantity,Value,LCSC Part #
"RP102, RP902, RP907",CAY1647R0F4LF,3,47Rx4,
RP204,CAY1647R0F4LF,1,68R,
"RP205, RP301, RP601, RP602, RP603, RP604, RP605, RP606, RP800, RP903",EXBD10C102J,10,1k x8,C1731193
"RP300, RP600",EXBD10C102J,2,10k x8,C278696
RP802,CAY16-103J4LF,1,1k,C784824
U102,DIP-48_W15.24mm_Socket_LongPads,1,GARY,
"U103, U105",SOIC127P1030X265-20N,2,SN74F245DWR,C7165
"U104, U106",SOIC127P1030X265-20N,2,SN74LS373DWR,C2867545
U107,SOIC127P600X175-14N,1,SN74F04DR,C7159
U108,SOIC127P600X175-14N,1,SN74LS74ADR,C39990
U1201,SOIC127P600X175-8N,1,THS7316DRG4,C2678439
"U1202, U1203",SOIC127P600X175-14N,2,SN74LVC86ADRG4,
"U1204, U1205",SOP65P640X120-20N,2,SN74LVC574APWR,C7672
"U1251, U351",SOIC127P600X175-14N,2,SN74HCT14DR,C6769
U200,DIP-48_W15.24mm_Socket_LongPads,1,PAULA,
U201,DIP-48_W15.24mm_Socket_LongPads,1,DENISE,
U202,SOIC127P600X175-16N,1,SN74LS157DR,C2653294
U203,SOIC127P600X175-14N,1,SN74LS38DR,C7766
U204,SOIC127P600X175-14N,1,LF347DR,C7917
U205,SOIC127P1030X265-20N,1,SN74HCT244DWRG4,
U206,SOIC127P1030X265-20N,1,SN74HCT244DWRG4,C3753563
"U300, U301",DIP-40_W15.24mm_Socket_LongPads,2,CIA,
U302,SOIC127P600X175-14N,1,SN74LS32DR,C116812
U303,SOIC127P600X175-14N,1,SN74F08D,C2878688
U304,SOIC127P600X175-14N,1,MAX1488ECSD+,C2671966
U305,SOIC127P600X175-14N,1,MAX1489ECSD+,C1543802
U450,SOIC127P780X200-8N,1,NE555PSR,
U451,SOT95P280X145-5N,1,SN74LVC1G04DBVR,C7827
U500,DIP-42_W15.24mm_Socket_LongPads,1,ROM,
"U600, U601, U603, U604",SOIC127P780X200-20N,4,SN74LS245NSR,C7753
"U602, U605",SOIC127P780X200-20N,2,SN74ALS245ANSR,C2675891
"U607, U803",SOIC127P600X175-14N,2,SN74LS08DR,C6802
U800,DIP-48_W15.24mm_Socket_LongPads,1,BUSTER,
U801,DIP-18_W7.62mm_LongPads,1,MSM6242,
U802,SOIC127P600X175-16N,1,SN74LS138DR,C7736
U804,SOIC127P600X175-16N,1,SN74LS148DR,C2674594
U805,SOIC127P600X175-14N,1,LM339DR,C7948
U900,SOIC127P600X175-14N,1,SN74F00DR,C7158
VC800,JR500HV,1,8-50pF,
XC1,0805,1,270 pF,C2180917
Y800,VT200F125PF20PPM,1,VT200F-32768 Hz,
