Designator,Mid X,Mid Y,Rotation,Layer
C920,171.1452,-218.4654,270.0,bottom
CE218,208.337,-89.457,90.0,top
CE230,214.433,-89.457,90.0,top
CE231,210.369,-89.4785,90.0,top
CE232,205.867,-89.457,90.0,top
CE233,203.835,-89.457,90.0,top
CE234,231.451,-81.075,270.0,top
CE235,236.785,-80.44,270.0,top
CE236,222.561,-89.457,90.0,top
CE237,220.529,-89.457,90.0,top
CE238,212.401,-89.457,90.0,top
CE239,201.803,-89.457,90.0,top
CE240,199.771,-89.457,90.0,top
CE241,233.61,-81.075,270.0,top
CE242,218.497,-89.457,90.0,top
CE243,216.465,-89.457,90.0,top
CE300,181.363,-86.659,90.0,bottom
CE301,198.177,-101.649,270.0,bottom
CE302,195.637,-101.649,270.0,bottom
CE303,193.097,-101.649,270.0,bottom
CE304,190.557,-101.649,270.0,bottom
CE305,188.017,-101.649,270.0,bottom
CE306,185.477,-101.649,270.0,bottom
CE307,182.937,-101.649,270.0,bottom
CE308,180.397,-101.649,270.0,bottom
CE309,177.857,-101.649,270.0,bottom
CE310,187.64,-86.6,90.0,bottom
CE325,152.711,-80.059,90.0,top
CE326,156.775,-80.059,90.0,top
CE327,158.807,-80.059,90.0,top
CE328,160.839,-80.059,90.0,top
CE329,154.743,-80.059,90.0,top
CE330,162.871,-80.059,90.0,top
CE331,164.903,-80.059,90.0,top
CE333,150.679,-80.059,90.0,top
CE335,175.317,-101.649,90.0,bottom
CE336,172.777,-101.649,90.0,bottom
CE337,170.237,-101.649,90.0,bottom
CE338,167.697,-101.649,90.0,bottom
CN101,216.465,-112.825,0.0,top
CN1201,272.345,-78.535,180.0,top
CN1202,281.8638,-92.456,270.0,top
CN1250,291.592,-106.5022,0.0,top
CN1251,278.13,-232.791,90.0,top
CN1252,295.91,-85.212,0.0,top
CN201,223.529,-75.025,180.0,top
CN204,246.945,-71.475,0.0,top
CN250,213.909,-81.71,270.0,top
CN251,228.53,-81.71,270.0,top
CN300,195.605,-76.6225,180.0,top
CN301,198.177,-95.426,270.0,top
CN303,168.205,-232.84,90.0,top
CN305,165.66,-75.025,180.0,top
CN306,156.79,-232.84,90.0,top
CN350,177.73,-82.98,90.0,top
CN400,290.125,-173.84,90.0,top
CN450,269.367,-232.791,90.0,top
CN451,121.835,-232.84,270.0,top
CN452,238.379,-232.918,90.0,top
CN453,134.112,-178.816,0.0,top
CN519,133.096,-82.677,0.0,top
CN520,137.16,-82.677,0.0,top
CN600,120.0466,-89.965,270.0,top
CN601,99.7266,-89.965,270.0,top
CN606,134.55,-143.295,180.0,top
CN650,134.239,-167.132,180.0,top
CN950,220.218,-232.918,90.0,top
D300,144.329,-79.297,270.0,bottom
D353,269.0876,-225.425,0.0,bottom
D360,152.33,-232.205,270.0,top
D800,259.645,-187.875,90.0,bottom
D801,263.652,-185.547,270.0,bottom
D802,257.556,-224.917,180.0,bottom
D803,261.874,-181.845,270.0,bottom
EMI200,271.907,-149.026,270.0,bottom
EMI229,248.92,-143.256,270.0,top
FB102,238.436,-227.125,180.0,bottom
FB1201,265.36,-86.155,270.0,top
FB1202,271.71,-86.155,270.0,top
FB1203,278.695,-86.155,270.0,top
FB1204,288.855,-86.155,270.0,top
FB1205,286.315,-86.155,270.0,top
FB301,195.764,-87.298,90.0,bottom
FB302,171.888,-87.171,90.0,bottom
FB303,174.428,-87.171,90.0,bottom
FB401,248.85,-78.535,0.0,bottom
FB907,239.2934,-204.851,90.0,bottom
HY200,276.155,-151.56,180.0,top
J301,232.156,-232.918,90.0,top
J351,249.682,-232.918,270.0,top
J400,263.017,-232.791,90.0,top
J519,141.097,-127.0,180.0,top
J520,164.465,-127.0,180.0,top
J950,134.112,-172.207,0.0,top
Q200,234.211,-87.486,0.0,bottom
Q201,248.943,-86.79,180.0,bottom
Q202,234.753,-91.489,270.0,bottom
Q300,141.535,-79.551,270.0,bottom
Q301,184.395,-225.0,270.0,top
Q302,178.782,-214.884,0.0,top
Q360,152.4,-227.711,270.0,bottom
R1000,129.4638,-147.1676,180.0,bottom
R104,138.7094,-213.0806,0.0,bottom
R105,230.505,-172.212,90.0,bottom
R106,239.522,-180.34,270.0,bottom
R109,213.614,-157.353,90.0,top
R110,213.614,-162.052,270.0,top
R111,171.7294,-211.455,0.0,bottom
R114,94.053,-105.459,0.0,top
R115,94.053,-109.015,180.0,bottom
R1201,268.535,-89.33,180.0,top
R1202,274.885,-89.33,180.0,top
R1203,282.505,-89.33,180.0,top
R1204,286.95,-82.345,0.0,bottom
R1205,276.79,-82.345,0.0,bottom
R1206,266.9,-82.345,0.0,bottom
R1207,263.271,-97.917,0.0,bottom
R1208,258.572,-97.917,180.0,bottom
R1209,285.045,-119.175,0.0,top
R200,249.0724,-161.3916,270.0,bottom
R201,179.381,-86.663,270.0,bottom
R203,221.615,-212.09,270.0,bottom
R204,231.07,-86.155,90.0,bottom
R205,253.041,-87.933,0.0,bottom
R206,252.025,-89.965,0.0,bottom
R207,232.664,-96.7175,270.0,bottom
R208,248.977,-90.473,270.0,bottom
R209,235.5182,-158.5722,0.0,bottom
R210,237.871,-104.521,180.0,bottom
R213,230.689,-96.7175,270.0,bottom
R214,228.657,-96.7175,90.0,bottom
R215,271.907,-142.621,90.0,bottom
R230,247.523,-96.7175,270.0,bottom
R231,248.215,-83.615,0.0,bottom
R232,245.04,-82.345,270.0,bottom
R233,250.755,-80.44,90.0,top
R234,257.175,-80.44,90.0,top
R240,243.389,-96.7175,270.0,bottom
R241,233.934,-82.296,90.0,bottom
R242,237.998,-82.345,270.0,bottom
R243,239.325,-80.44,90.0,top
R244,246.945,-80.44,270.0,top
R300,189.0014,-225.9584,0.0,top
R305,146.361,-79.297,270.0,bottom
R306,148.393,-79.297,90.0,bottom
R307,178.816,-217.805,180.0,top
R309,189.0014,-224.0026,0.0,top
R311,110.293,-109.269,180.0,top
R312,94.0562,-112.1156,180.0,bottom
R351,252.787,-232.586,90.0,bottom
R352,254.819,-232.586,90.0,bottom
R360,152.33,-232.205,270.0,bottom
R451,273.431,-225.298,90.0,bottom
R452,279.654,-225.298,270.0,bottom
R453,277.622,-225.298,270.0,bottom
R500,254.127,-206.756,0.0,bottom
R519,139.573,-98.933,180.0,top
R520,139.573,-96.901,180.0,top
R601,102.7336,-220.8022,180.0,top
R602,128.778,-212.979,180.0,bottom
R603,109.5502,-208.153,180.0,top
R801,261.55,-187.755,90.0,bottom
R802,258.826,-214.757,0.0,bottom
R804,253.803,-185.723,270.0,bottom
R805,257.048,-220.218,0.0,bottom
R806,159.9184,-213.614,90.0,bottom
R807,163.7792,-213.614,90.0,bottom
R810,269.461,-223.315,180.0,bottom
R900,224.339,-101.141,270.0,bottom
R902,177.6984,-212.09,180.0,top
R904,102.7176,-218.5162,180.0,top
R905,169.164,-218.4146,90.0,bottom
R914,193.478,-87.298,270.0,bottom
R916,231.521,-202.8444,90.0,bottom
R917,113.4364,-171.323,180.0,bottom
RE218,208.337,-87.933,90.0,bottom
RE230,214.433,-87.933,90.0,bottom
RE231,210.369,-87.933,90.0,bottom
RE232,206.305,-87.933,90.0,bottom
RE233,204.273,-87.933,90.0,bottom
RE234,228.657,-87.933,90.0,bottom
RE235,224.593,-87.933,90.0,bottom
RE236,222.561,-87.933,90.0,bottom
RE237,220.529,-87.933,90.0,bottom
RE238,212.401,-87.933,270.0,bottom
RE239,202.241,-87.933,270.0,bottom
RE240,200.209,-87.933,270.0,bottom
RE241,226.625,-87.933,270.0,bottom
RE242,218.497,-87.933,90.0,bottom
RE243,216.465,-87.933,90.0,bottom
RE300,185.37,-86.61,90.0,bottom
RE301,198.177,-101.649,90.0,top
RE302,195.637,-101.649,90.0,top
RE303,193.097,-101.649,90.0,top
RE304,190.557,-101.649,90.0,top
RE305,188.017,-101.649,90.0,top
RE306,185.477,-101.649,90.0,top
RE307,182.937,-101.649,90.0,top
RE308,180.397,-101.649,90.0,top
RE309,177.857,-101.649,90.0,top
RE310,190.3,-87.29,270.0,bottom
RE325,152.711,-79.297,90.0,bottom
RE326,156.775,-79.297,90.0,bottom
RE327,158.807,-79.297,90.0,bottom
RE328,160.839,-79.297,90.0,bottom
RE329,154.743,-79.297,270.0,bottom
RE330,162.871,-79.297,270.0,bottom
RE331,164.903,-79.297,90.0,bottom
RE333,150.622,-79.375,270.0,bottom
RE335,175.317,-101.649,90.0,top
RE336,172.777,-101.649,90.0,top
RE337,170.237,-101.649,90.0,top
RE338,167.697,-101.649,90.0,top
RP100,129.8702,-137.922,90.0,top
RP100.9,161.8742,-213.614,90.0,bottom
RP101,129.9586,-161.8356,90.0,top
RP101.9,212.09,-130.048,0.0,top
RP102,238.69,-210.107,180.0,bottom
RP200,215.709,-96.711,180.0,bottom
RP203.2,257.429,-111.887,180.0,bottom
RP203.3,262.255,-115.189,0.0,bottom
RP204,225.101,-96.569,90.0,top
RP205,247.65,-113.03,180.0,bottom
RP300,186.9562,-107.8352,0.0,bottom
RP301,203.511,-224.712,180.0,top
RP600,141.741,-227.076,0.0,top
RP601,94.101,-134.352,0.0,top
RP602,93.973,-138.924,0.0,bottom
RP603,112.071,-124.509,0.0,top
RP604,112.325,-198.423,180.0,top
RP605,112.008,-167.118,0.0,top
RP606,94.2594,-179.4002,180.0,top
RP607.1,110.8202,-100.838,0.0,bottom
RP800,147.828,-227.076,180.0,top
RP801,149.7584,-184.785,180.0,top
RP802,263.836,-212.266,270.0,bottom
RP900,139.828,-176.53,0.0,top
RP901,150.177,-177.356,270.0,top
RP902,233.483,-210.107,0.0,bottom
RP903,115.443,-154.5336,180.0,bottom
RP904,259.207,-135.255,0.0,bottom
RP905,259.588,-157.353,180.0,bottom
RP907,198.882,-130.683,180.0,bottom
RP908.1,110.236,-153.3144,180.0,bottom
U102,227.895,-168.715,0.0,top
U103,183.24108,-184.277,0.0,top
U104,183.62208,-200.66,0.0,top
U105,202.311,-184.309685,0.0,top
U106,202.311,-200.819685,0.0,top
U107,234.499,-219.505,0.0,bottom
U108,206.813,-217.6,270.0,top
U1201,287.585,-88.695,90.0,bottom
U1202,282.575,-110.109,0.0,top
U1203,282.321,-132.715,0.0,top
U1204,282.505,-133.78,180.0,bottom
U1205,282.505,-121.715,0.0,bottom
U1251,259.543,-106.045,180.0,bottom
U200,227.895,-105.205,0.0,top
U201,252.025,-97.585,0.0,top
U202,214.9348,-102.5906,90.0,bottom
U203,193.224,-217.473,270.0,top
U204,241.23,-88.695,270.0,bottom
U205,259.588,-125.603,0.0,bottom
U206,259.645,-148.209,0.0,bottom
U300,192.335,-121.715,0.0,top
U301,169.475,-121.715,0.0,top
U302,199.8472,-123.571,0.0,bottom
U303,187.325,-214.757,180.0,bottom
U304,148.52,-92.505,180.0,top
U305,156.775,-92.505,180.0,top
U351,249.936,-223.012,180.0,bottom
U450,275.971,-218.44,180.0,bottom
U451,279.0136,-210.8606,180.0,bottom
U500,145.345,-121.715,0.0,top
U600,112.077,-112.19,0.0,bottom
U601,112.325,-128.7,0.0,bottom
U602,112.325,-145.288,0.0,bottom
U603,112.325,-198.677,0.0,bottom
U604,112.141,-181.737,0.0,bottom
U605,112.6744,-163.449,0.0,bottom
U607,235.941,-188.263,0.0,bottom
U800,114.865,-223.066,90.0,top
U801,249.47,-181.415,0.0,top
U802,153.391,-194.994,180.0,top
U803,143.649,-194.359,180.0,top
U804,133.743,-194.994,180.0,top
U805,263.283,-220.775,180.0,bottom
U900,198.374,-215.646,180.0,bottom
VC800,256.597,-177.087,180.0,top
XC1,114.7572,-148.7678,180.0,top
XR1,114.7986,-150.749,0.0,top
XRP1.1,118.675,-213.155,180.0,bottom
Y800,251.155,-177.087,270.0,top
